file,raw_tag,catalog_key,status,canonical,jpm_prefix
wiki/exams/2012/jpm-ip-i-locally-borate-rcs.md,068 AA1.08 (4.2/4.2),068 AA1.08,DELETED_IN_REV3,068 AA1.08 (4.2/4.2),In-Plant | RO/SRO | 
wiki/exams/2012/jpm-ip-j-start-synchronize-edg.md,064 A2.09 (3.1/3.3),064 A2.09,DELETED_IN_REV3,064 A2.09 (3.1/3.3),In-Plant | RO/SRO | 
wiki/exams/2012/jpm-ip-k-loss-of-all-ac-power-sbo-diesel.md,G2.1.23 (RO 4.3 / SRO 4.4),G2.1.23,RESOLVED,G2.1.23 (RO 4.3 / SRO 4.4),In-Plant | RO/SRO | 
wiki/exams/2012/jpm-ro-a1-1-calculate-shutdown-margin.md,G2.1.25 (RO 3.9 / SRO 4.2),G2.1.25,RESOLVED,G2.1.25 (RO 3.9 / SRO 4.2),Admin | RO | 
wiki/exams/2012/jpm-ro-a1-2-manual-afd-calculation.md,G2.1.18 (RO 3.6 / SRO 3.8),G2.1.18,RESOLVED,G2.1.18 (RO 3.6 / SRO 3.8),Admin | RO | 
wiki/exams/2012/jpm-ro-a2-rwst-operability.md,G2.2.37 (SRO 4.6),G2.2.37,RESOLVED,G2.2.37 (SRO 4.6),Admin | RO | 
wiki/exams/2012/jpm-ro-a3-stay-time-calculation.md,G2.3.4 (3.2),G2.3.4,DELETED_IN_REV3,G2.3.4 (3.2),Admin | RO | 
wiki/exams/2012/jpm-sim-a-control-rod-operability-verification.md,001 A4.03 (RO 3.7 / SRO 3.7),001 A4.03,RESOLVED,001 A4.03 (RO 3.7 / SRO 3.7),Simulator | RO/SRO | 
wiki/exams/2012/jpm-sim-b-forward-flow-ist-eccs-accumulator.md,006 A4.02 (RO 4.2 / SRO 4.2),006 A4.02,RESOLVED,006 A4.02 (RO 4.2 / SRO 4.2),Simulator | RO/SRO | 
wiki/exams/2012/jpm-sim-c-pzr-pressure-malfunction.md,010 A4.01 (RO 3.8 / SRO 3.8),010 A4.01,RESOLVED,010 A4.01 (RO 3.8 / SRO 3.8),Simulator | RO/SRO | 
wiki/exams/2012/jpm-sim-d-loss-of-rhr.md,025 AA1.09 (3.2/3.1),025 AA1.09,DELETED_IN_REV3,025 AA1.09 (3.2/3.1),Simulator | RO/SRO | 
wiki/exams/2012/jpm-sim-e-main-turbine-trip-below-p9.md,G2.4.31 (RO 4.2 / SRO 4.1),G2.4.31,RESOLVED,G2.4.31 (RO 4.2 / SRO 4.1),Simulator | RO/SRO | 
wiki/exams/2012/jpm-sim-f-adjust-prt-level-pressure.md,007 A4.04 (RO 3.2 / SRO 3.2),007 A4.04,RESOLVED,007 A4.04 (RO 3.2 / SRO 3.2),Simulator | RO/SRO | 
wiki/exams/2012/jpm-sim-g-loss-of-control-air.md,065 AA2.06 (3.6/4.2),065 AA2.06,DELETED_IN_REV3,065 AA2.06 (3.6/4.2),Simulator | RO/SRO | 
wiki/exams/2012/jpm-sim-h-authorized-liquid-release.md,068 A4.03 (RO 3.5 / SRO 3.5),068 A4.03,RESOLVED,068 A4.03 (RO 3.5 / SRO 3.5),Simulator | RO/SRO | 
wiki/exams/2012/jpm-sro-a1-1-review-surveillance-operability.md,G2.1.25 (RO 3.9 / SRO 4.2),G2.1.25,RESOLVED,G2.1.25 (RO 3.9 / SRO 4.2),Admin | SRO | 
wiki/exams/2012/jpm-sro-a1-2-direct-spent-fuel-movement.md,G2.1.42 (SRO 3.4),G2.1.42,RESOLVED,G2.1.42 (SRO 3.4),Admin | SRO | 
wiki/exams/2012/jpm-sro-a2-review-otsc.md,G2.2.6 (RO 3 / SRO 3.6),G2.2.6,RESOLVED,G2.2.6 (RO 3 / SRO 3.6),Admin | SRO | 
wiki/exams/2012/jpm-sro-a3-radioactive-release-actions.md,G2.3.11 (RO 3.8 / SRO 4.3),G2.3.11,RESOLVED,G2.3.11 (RO 3.8 / SRO 4.3),Admin | SRO | 
wiki/exams/2012/jpm-sro-a4-1-esg1-emergency-classification-icmf.md,G2.4.41 (SRO 4.6),G2.4.41,RESOLVED,G2.4.41 (SRO 4.6),Admin | SRO | 
wiki/exams/2012/jpm-sro-a4-2-esg2-emergency-classification-icmf.md,G2.4.41 (SRO 4.6),G2.4.41,RESOLVED,G2.4.41 (SRO 4.6),Admin | SRO | 
wiki/exams/2012/jpm-sro-a4-3-esg3-emergency-classification-icmf.md,G2.4.41 (SRO 4.6),G2.4.41,RESOLVED,G2.4.41 (SRO 4.6),Admin | SRO | 
wiki/exams/2012/q1-dropped-rod-recovery-expected-alarms.md,003 AK2.05 (RO 2.5 / SRO 2.8),003 AK2.05,DELETED_IN_REV3,003 AK2.05 (RO 2.5 / SRO 2.8),
wiki/exams/2012/q10-sgfp-trip-unexpected-alarm.md,G2.4.46 (RO 4.2 / SRO 4.2),G2.4.46,RESOLVED,G2.4.46 (RO 4.2 / SRO 4.2),
