ka_full,category,system_number,system_name,ka_no,statement,ro_imp,sro_imp,status
001 AA1.01,ape,001,(APE 1) Continuous Rod Withdrawal,AA1.01,(001AA1.01) Ability to operate and/or monitor the following as they apply to (APE 1) CONTINUOUS Rod Withdrawal (CFR: 41.7 / 45.5 / 45.6): Bank select switch,3.7,3.7,active
001 AA1.02,ape,001,(APE 1) Continuous Rod Withdrawal,AA1.02,(001AA1.02) Ability to operate and/or monitor the following as they apply to (APE 1) CONTINUOUS Rod Withdrawal (CFR: 41.7 / 45.5 / 45.6): Rod in-out-hold switch,4,4,active
001 AA1.03,ape,001,(APE 1) Continuous Rod Withdrawal,AA1.03,(001AA1.03) Ability to operate and/or monitor the following as they apply to (APE 1) CONTINUOUS Rod Withdrawal (CFR: 41.7 / 45.5 / 45.6): Boric acid pump control switch,3.2,3.2,active
001 AA1.04,ape,001,(APE 1) Continuous Rod Withdrawal,AA1.04,(001AA1.04) Ability to operate and/or monitor the following as they apply to (APE 1) CONTINUOUS Rod Withdrawal (CFR: 41.7 / 45.5 / 45.6): Operating switch for emergency boration motor‑operated valve operating switch,3.4,3.4,active
001 AA1.05,ape,001,(APE 1) Continuous Rod Withdrawal,AA1.05,(001AA1.05) Ability to operate and/or monitor the following as they apply to (APE 1) CONTINUOUS Rod Withdrawal (CFR: 41.7 / 45.5 / 45.6): Reactor trip switches,4.2,4.2,active
001 AA1.06,ape,001,(APE 1) Continuous Rod Withdrawal,AA1.06,(001AA1.06) Ability to operate and/or monitor the following as they apply to (APE 1) CONTINUOUS Rod Withdrawal (CFR: 41.7 / 45.5 / 45.6): Rod transfer switches,3.2,3.2,active
001 AA1.07,ape,001,(APE 1) Continuous Rod Withdrawal,AA1.07,(001AA1.07) Ability to operate and/or monitor the following as they apply to (APE 1) CONTINUOUS Rod Withdrawal (CFR: 41.7 / 45.5 / 45.6): RPI,3.7,3.7,active
001 AA1.08,ape,001,(APE 1) Continuous Rod Withdrawal,AA1.08,(001AA1.08) Ability to operate and/or monitor the following as they apply to (APE 1) CONTINUOUS Rod Withdrawal (CFR: 41.7 / 45.5 / 45.6): RCS,3.4,3.4,active
001 AA1.09,ape,001,(APE 1) Continuous Rod Withdrawal,AA1.09,(001AA1.09) Ability to operate and/or monitor the following as they apply to (APE 1) CONTINUOUS Rod Withdrawal (CFR: 41.7 / 45.5 / 45.6): PZR,3.3,3.3,active
001 AA1.10,ape,001,(APE 1) Continuous Rod Withdrawal,AA1.10,(001AA1.10) Ability to operate and/or monitor the following as they apply to (APE 1) CONTINUOUS Rod Withdrawal (CFR: 41.7 / 45.5 / 45.6): MT/G,3,3,active
001 AA1.11,ape,001,(APE 1) Continuous Rod Withdrawal,AA1.11,(001AA1.11) Ability to operate and/or monitor the following as they apply to (APE 1) CONTINUOUS Rod Withdrawal (CFR: 41.7 / 45.5 / 45.6): SDS,3.2,3.2,active
001 AA1.12,ape,001,(APE 1) Continuous Rod Withdrawal,AA1.12,(001AA1.12) Ability to operate and/or monitor the following as they apply to (APE 1) CONTINUOUS Rod Withdrawal (CFR: 41.7 / 45.5 / 45.6): NIS,3.7,3.7,active
001 AA1.13,ape,001,(APE 1) Continuous Rod Withdrawal,AA1.13,(001AA1.13) Ability to operate and/or monitor the following as they apply to (APE 1) CONTINUOUS Rod Withdrawal (CFR: 41.7 / 45.5 / 45.6): CRDS,3.7,3.7,active
001 AA2.01,ape,001,(APE 1) Continuous Rod Withdrawal,AA2.01,DELETED,0,0,deleted
001 AA2.02,ape,001,(APE 1) Continuous Rod Withdrawal,AA2.02,DELETED,0,0,deleted
001 AA2.03,ape,001,(APE 1) Continuous Rod Withdrawal,AA2.03,DELETED,0,0,deleted
001 AA2.04,ape,001,(APE 1) Continuous Rod Withdrawal,AA2.04,(001AA2.04) Ability to determine and/or interpret the following as they apply to (APE 1) CONTINUOUS Rod Withdrawal (CFR: 43.5 / 45.13): Reactor power,3.8,4.3,active
001 AA2.05,ape,001,(APE 1) Continuous Rod Withdrawal,AA2.05,(001AA2.05) Ability to determine and/or interpret the following as they apply to (APE 1) CONTINUOUS Rod Withdrawal (CFR: 43.5 / 45.13): Uncontrolled rod withdrawal,4.2,4.1,active
001 AA2.06,ape,001,(APE 1) Continuous Rod Withdrawal,AA2.06,(001AA2.06) Ability to determine and/or interpret the following as they apply to (APE 1) CONTINUOUS Rod Withdrawal (CFR: 43.5 / 45.13): T‑ave.,3.2,3.8,active
001 AA2.07,ape,001,(APE 1) Continuous Rod Withdrawal,AA2.07,(001AA2.07) Ability to determine and/or interpret the following as they apply to (APE 1) CONTINUOUS Rod Withdrawal (CFR: 43.5 / 45.13): PZR level,3.2,3.6,active
001 AA2.08,ape,001,(APE 1) Continuous Rod Withdrawal,AA2.08,(001AA2.08) Ability to determine and/or interpret the following as they apply to (APE 1) CONTINUOUS Rod Withdrawal (CFR: 43.5 / 45.13): Megawatt electric,2.6,3.2,active
001 AA2.09,ape,001,(APE 1) Continuous Rod Withdrawal,AA2.09,(001AA2.09) Ability to determine and/or interpret the following as they apply to (APE 1) CONTINUOUS Rod Withdrawal (CFR: 43.5 / 45.13): RPI,3.8,3.8,active
001 AA2.10,ape,001,(APE 1) Continuous Rod Withdrawal,AA2.10,(001AA2.10) Ability to determine and/or interpret the following as they apply to (APE 1) CONTINUOUS Rod Withdrawal (CFR: 43.5 / 45.13): Lights and alarms,3.4,3.4,active
001 AA2.11,ape,001,(APE 1) Continuous Rod Withdrawal,AA2.11,(001AA2.11) Ability to determine and/or interpret the following as they apply to (APE 1) CONTINUOUS Rod Withdrawal (CFR: 43.5 / 45.13): PZR pressure,3,3.4,active
001 AK1.01,ape,001,(APE 1) Continuous Rod Withdrawal,AK1.01,(001AK1.01) Knowledge of the operational implications and/or cause and effect relationships of the following concepts as they apply to (APE 1) CONTINUOUS Rod Withdrawal (CFR: 41.8 / 41.10 / 45.3): Prompt criticality,3.8,3.8,active
001 AK1.02,ape,001,(APE 1) Continuous Rod Withdrawal,AK1.02,(001AK1.02) Knowledge of the operational implications and/or cause and effect relationships of the following concepts as they apply to (APE 1) CONTINUOUS Rod Withdrawal (CFR: 41.8 / 41.10 / 45.3): Startup rate,4,4,active
001 AK1.03,ape,001,(APE 1) Continuous Rod Withdrawal,AK1.03,(001AK1.03) Knowledge of the operational implications and/or cause and effect relationships of the following concepts as they apply to (APE 1) CONTINUOUS Rod Withdrawal (CFR: 41.8 / 41.10 / 45.3): Relationship of reactivity and reactor power to rod movement,4.1,4.1,active
001 AK1.04,ape,001,(APE 1) Continuous Rod Withdrawal,AK1.04,(001AK1.04) Knowledge of the operational implications and/or cause and effect relationships of the following concepts as they apply to (APE 1) CONTINUOUS Rod Withdrawal (CFR: 41.8 / 41.10 / 45.3): Effect of continuous rod withdrawal on insertion limits and SDM,4,4,active
001 AK1.05,ape,001,(APE 1) Continuous Rod Withdrawal,AK1.05,(001AK1.05) Knowledge of the operational implications and/or cause and effect relationships of the following concepts as they apply to (APE 1) CONTINUOUS Rod Withdrawal (CFR: 41.8 / 41.10 / 45.3): Effects of turbine-reactor power mismatch on rod control,3.7,3.7,active
001 AK1.06,ape,001,(APE 1) Continuous Rod Withdrawal,AK1.06,DELETED,0,0,deleted
001 AK1.07,ape,001,(APE 1) Continuous Rod Withdrawal,AK1.07,(001AK1.07) Knowledge of the operational implications and/or cause and effect relationships of the following concepts as they apply to (APE 1) CONTINUOUS Rod Withdrawal (CFR: 41.8 / 41.10 / 45.3): Effects of power level and control rod position on flux,3.6,3.6,active
001 AK1.08,ape,001,(APE 1) Continuous Rod Withdrawal,AK1.08,(001AK1.08) Knowledge of the operational implications and/or cause and effect relationships of the following concepts as they apply to (APE 1) CONTINUOUS Rod Withdrawal (CFR: 41.8 / 41.10 / 45.3): S/G pressure,3.3,3.3,active
001 AK1.09,ape,001,(APE 1) Continuous Rod Withdrawal,AK1.09,(001AK1.09) Knowledge of the operational implications and/or cause and effect relationships of the following concepts as they apply to (APE 1) CONTINUOUS Rod Withdrawal (CFR: 41.8 / 41.10 / 45.3): Reason for use of pulse/analog converter (determination of actual rod positions),2.9,2.9,active
001 AK1.10,ape,001,(APE 1) Continuous Rod Withdrawal,AK1.10,DELETED,0,0,deleted
001 AK1.11,ape,001,(APE 1) Continuous Rod Withdrawal,AK1.11,DELETED,0,0,deleted
